description,prob_type
"Install electrical circuits for renovated kitchen.
Req. 74183
Officer in charge
410-396-0208

Terry Howell",Electrical
"Install electrical circuits for renovated kitchen.
Req. 74183
Officer in charge
410-396-0208

Terry Howell",Electrical
"Install electrical circuits for renovated kitchen.
Req. 74183
Officer in charge
410-396-0208

Terry Howell",Electrical
"Install electrical circuits for renovated kitchen.
Req. 74183
Officer in charge
410-396-0208

Terry Howell",Electrical
"Install electrical circuits for renovated kitchen.
Req. 74183
Officer in charge
410-396-0208

Terry Howell",Electrical
"Install electrical circuits for renovated kitchen.
Req. 74183
Officer in charge
410-396-0208

Terry Howell",Electrical
"Install electrical circuits for renovated kitchen.
Req. 74183
Officer in charge
410-396-0208

Terry Howell",Electrical
"Install electrical circuits for renovated kitchen.
Req. 74183
Officer in charge
410-396-0208

Terry Howell",Electrical
"Install electrical circuits for renovated kitchen.
Req. 74183
Officer in charge
410-396-0208

Terry Howell",Electrical
"URGENT:  Restore heat in garage area at 806 N Haven St asap.
Contact person is John Boyd (410-396-3061).

Jonae Barnes 1/14/19
Assigned to Fischer",HVAC
"LABOR AND MATERIALS TO REPAIR THE HEAT AT THE RITA CHURCH COMMUNITY CENTER - THIS IS A CONFIRMING SR - JASON HAS ALREADY BEEN CONTACTED

Tonya Smith 1/14/2019
Assigned to Fischer",HVAC
"LABOR AND MATERIALS TO REPAIR THE HEAT AND OVERHEAD PIPE LEAK IN THE PEACH ROOM AT 3001 EAST DRIVE -THIS IS A CONFIRMING SR - JASON HAS ALREADY BEEN CONTACTED

Tonya Smith 1/14/2019
Assigned to Fischer",HVAC
"No heat in office area the vents are blowing out cold air and thermostats are set all the way up.
The office is located down hallway from the overtime unit on west side of building.
Contact: Sgt. Jones 410-637-8832

Jonae Barnes 1/14/19
Assigned to Fischer",HVAC
"Please provide labor and material to repair the leak on the 3rd floor in the c dorm

Jonae Barnes 1/14/19
Assigned to Fischer",Plumbing
Employee complains the lights are to bright,Electrical
"Heating element in baseboard in Room 361 Office 316 is not working.

Jonae Barnes 1/11/19
Assigned to Fischer",Electrical
"Please check for a leak under the shooting tank in the firearms lab. Water is leaking onto the floor coming from an unknown location. 
Contact: Doug Kerr 410-396-2575",Plumbing
Please install the 2 whips and 1 power pole for the new cubicles in this location,Electrical
Please install the 2 whips and 1 power pole for the new cubicles in this location,Electrical
Please install the 2 whips and 1 power pole for the new cubicles in this location,Electrical
Please install the 2 whips and 1 power pole for the new cubicles in this location,Electrical
Please install the 2 whips and 1 power pole for the new cubicles in this location,Electrical
Please install the 2 whips and 1 power pole for the new cubicles in this location,Electrical
Please install the 2 whips and 1 power pole for the new cubicles in this location,Electrical
"Oil heating deliveries 
January 2019 thru May 2019 - starting January 11, 2019

on site 
Annie Applegarth or Sarah Wilson 410-821-7448

Olivia 1/11/19
Deliver 300 gallons

Tonya Smith 1/15/2019
300 Gallons

Tonya Smith 1/23/2019
300 Gals",HVAC
"w
in the room with furnaces we have a broken pipe or leak... water is gushing out.. flooding the basement 
this is an emergency
annie 443-807-7445

Olivia 1/10/19
assigned to Fischer",Plumbing
"There is no heat in the front desk area, however the

Jonae Barnes 1/11/19
Assigned to Fischer",HVAC
"Provide repairs to HVAC system NO HEAT. Assign to J.F. Fisher due to familiarity to system. Contact John Richardson at 443-677-8029 if needed.

Jonae Barnes 1/11/19
Assigned to Fischer",HVAC
"LABOR AND MATERIALS TO REPAIR THE HEAT AT THE CURTIS BAY RECREATION CENTER - THIS IS A CONFIRMING SR - JASON HAS ALRADY BEEN CONTACTED

Jonae Barnes 1/11/19
Assigned to Fischer",HVAC
"Install Mini-split unit in BCEMS Office.
Req. 74173
Officer in charge
410-396-3140

Wycliffe Eccles

J.F. Fischer notified.    Spoke to Jason Wagaman.

Jonae Barnes 1/11/19
Assigned to Fischer",HVAC
All of the three newly renovated bathrooms in the Southwestern Police Station have at least one clogged sink in each bathroom.,Plumbing
"URGENT:  Restore heat in Supervisor's building at 2695 W Franklin St
Contact person is Debbie Shum (410-396-0232).

Olivia 1/10/19
Assigned to Fischer",HVAC
"URGENT:  Repair ice machine in storeroom at 2331 N Fulton Ave.
Contact person is anyone in storeroom (410-396-0908).",Electrical
Please wire the 3 whips and 1 power pole,Electrical
Please install 4 outlets and remove the old cubicle whip from the wall. April is the contact on the floor.,Electrical
"track lighting fixture is no longer working....
needs repair or replacement
on site 
Megan or David 443-263-4350",Electrical
"Can you send someone to look the a/c &heater units in the storeroom at Franklintown Road/Meter Shop.  contact person Karen Armstead 6-0170

Jonae Barnes 1/11/19
Assigned to Denver-Elek",HVAC
"Repair rooftop unit for Truck Office and Kitchen, unit not heating.
Req. 74170
Officer in charge
410-396-1235

Wycliffe Eccles

J.F. Fischer notified.   Spoke to Jason Wagaman.",HVAC
Room 208 East Lights need changing,Electrical
Room 503 east toilet not working,Plumbing
"Please provide labor & materials to replace the broken light cover in the surgery hallway.


Claire Jensen is the onsite contact and can be reached at 410-396-4695.",Electrical
"Please provide labor & materials to replace the broken light cover in the surgery hallway.


Claire Jensen is the onsite contact and can be reached at 410-396-4695.",Electrical
"Please provide labor & materials to replace the broken light cover in the surgery hallway.


Claire Jensen is the onsite contact and can be reached at 410-396-4695.",Electrical
"Room 228 East too hot

Olivia 1/10/19
Assigned to JCI",HVAC
"Room 126 East too cold

Olivia 1/10/19
Assigned to JCI",HVAC
"Please provide labor & materials to restore the heat in the kitty corner.

Claire Jensen is the onsite contact and can be reached at 410-396-4695

Jonae Barnes 1/14/19
Assigned to Fischer",HVAC
"No heat at Northern P.D., boilers bad and pump leaking, Fischer 
took care of all issues 12/18 Attn. John Habicht, Terrel

Tonya Smith 1/9/2018
Assigned to Fischer",HVAC
"Please provide labor and material to repair the heat at this location.

Olivia 1/9/19
Assigned to Fischer",HVAC
"Repair heating units 2nd Flr front of station, units not getting hot.
Req. 74162
Officer in charge
443-984-1529

Wycliffe Eccles

J.F. Fischer notified.   Spoke to Jason Wagaman.

Olivia 1/9/19
Assigned to Fischer",HVAC
Sink is very slow to drain.,Plumbing
"Sink is very slow to drain.
Thank you,
Kevin Wight
410-545-6290",Plumbing
"Replace filter cartridge in water filter for ice makers.
Req. 74166
Officer in charge
410-396-6243

Wycliffe Eccles

J.F. Fischer notified.   Spoke to Chuck Lapaglia

Jonae Barnes 1/25/19
Assigned to Fischer .",Plumbing
"Perform preventive maintenance on HVAC equipment at this location.

Tonya Smith 1/9/2018
Assigned to Reginald Frederick",HVAC
"Kitchen lights are out
Angela McCauley
4103619681
4438278515",Electrical
"Kitchen lights are out
Angela McCauley
4103619681
4438278515",Electrical
Provide labor and materials to energize cubicles 2nd floor,Electrical
Provide labor and materials to energize cubicles 2nd floor,Electrical
Provide labor and materials to energize cubicles 2nd floor,Electrical
Provide labor and materials to energize cubicles 2nd floor,Electrical
"Please provide labor and material to repair or replace the aux drain pan and drain line

Tonya Smith 1/8/2019
Assigned to Fischer",HVAC
"Repair all sinks and toilets to put all restrooms on the second back inservice
Pinderhughes. Assigned to Fischer/ Horton

Jonae Barnes 1/8/19
Assigned to Fischer",Plumbing
LABOR AND MATERIALS TO REPAIR THE HEAT AT THE CLOVERDALE PARK BUILDING - CONTACT MATT OTREMBA 410-627-9497 FOR ACCESS - THIS IS A CONFIRMING SR - JASON HAS ALREADY BEEN CONTACTED,HVAC
"LABOR AND MATERIALS TO REPAIR THE HEAT AT THE GWYNNS FALLS MAINTENANCE YARD (MECHANIC SHOP) - THIS IS A CONFIRMING SR - JASON ALREADY RESPONDED ON 12/21/18

Tonya Smith 1/8/2019
Assigned to Fischer",HVAC
"LABOR AND MATERIALS TO REPAIR THE HEAT AT THE CECIL KIRK RECREATION CENTER -THIS IS A CONFIRMING SR - JASON ALREADY COMPLETED WORK ON 12/17/19

Jonae Barnes 1/9/18
Assigned to Fischer",HVAC
"URGENT:  Restore heat at 806 N Haven St asap.
Contact person is John Boyd (410-396-3061).

Tonya Smith 1/8/2019
Assigned to Fischer",HVAC
"Replace burnt out light bulb in the  bathroom that is  flickering and sometimes doesn’t come on. And the burnt out light bulb just inside the doorway of the Directors Office. 
Contact: Rana  DellaRocco 410-396-2230",Electrical
Please replace the burned out bulbs in the Main garage entrance at the bottom of the ramp and another at the top of the ramp.,Electrical
Please supply and run the required audio/video equipment wiring for the Camera system in this location. Maxine Kadesch is the POC- 443-681-0377,Electrical
"Please provide labor and material to repair the condensing unit for leibert unit number 4 the coil is in bad condition.

Jonae Barnes 1/14/19
Assigned to Fischer",HVAC
"Please provide a quote for the replacement of AHU-20

Tonya Smith 1/8/2019
Please provide quote Fischer, Denver-Elek, & Fresh Air",HVAC
"Please provide a quote for the replacement of AHU-21

Olivia 1/9/18
Sent out for quotes",HVAC
provide labor and material to replace light bulbs in watch center conference room.,Electrical
"Can you send someone to check the heat at Sisson St yard before the weather change, it's cold.  contact person Yolanda Cason 6-7250

Olivia 1/8/19
Assigned to Fred",HVAC
Provide labor and materials to make repairs to air compressor,Electrical
Provide Marcus 1 case of bulbs and 50ft hose.,Electrical
Replace 45 long neck 53w flood lamps at Waxter center,Electrical
Room 226 Mitchell lights out in courtroom,Electrical
Room 241 East replace bulb in bathroom,Electrical
Room 515 East too warm,HVAC
Provide labor/material to retro fit lighting on 1st floor to LED.,Electrical
Provide labor/material to retro fit lighting on 2nd floor to LED.,Electrical
Provide labor/material to retro fit  current lighting to LED on 3rd floor.,Electrical
"Replace defective gas stove in kitchen.
Req. 74156
Officer in charge
410-396-1235

Ann Braun",Plumbing
Provide labor/material to remove old ceiling lighting and install LED lights and Exit Signs throughout entire building.,Electrical
Provide labor/material to remove old ceiling lighting and install LED lights and Exit Signs throughout entire building.,Electrical
Provide labor/material to remove old ceiling lighting and install LED lights and Exit Signs throughout entire building.,Electrical
Provide labor/material to remove old ceiling lighting and install LED lights and Exit Signs throughout entire building.,Electrical
"Room 230 East too warm

Tonya Smith 1/7/2019
Assigned to JCI",HVAC
"Room 329 East too warm (Radiators)

Jonae Barnes 1/11/19
Assigned to JCI",HVAC
"Rooms F1-F4 too warm in Courtrooms

Olivia 1/10/19
Assigned to JCI",HVAC
"Please send Horton Mechanicals to service and repair ice making machine stopped making ice

contact David Grandison at: 410-365-6942

Jonae Barnes 1/8/19
Assigned to Fischer",HVAC
"The heater in Mr. Baridi Nkokheli isn't working properly, it will not turn on most times and when it's on it will not stay on.  
Can you send someone to investigate and give us a solution.  Contact person is Mr. Nkokheli, 443-386-9443.  Thank you.

Tonya Smith 1/8/2019
Assigned to Fischer",HVAC
"Repair leaking domestic hot water line on 2nd Flr.
Req. 74154
Officer in charge
410-396-0214

Wycliffe Eccles

J.F. Fischer notified.    Spoke to Chuck Lapaglia.

Emergency service call placed on Saturday morning 1/5/19.

Jonae Barnes 1/8/19
Assigned to Fischer",Plumbing
"Install auxiliary heater package in Bunkroom heat pump unit.
Req. 74160
Officer in charge
410-396-1226

Wycliffe Eccles

J.F. Fischer notified.   Spoke to Jason Wagaman.

Jonae Barnes 1/8/19
Assigned to Fischer",HVAC
"2 ceiling mounted heating units need replaced.  Both are fed by hot water boiler lines.  One unit completely down.  The other unit has a fan motor problem.  Recently repaired.  Complete replacement is necessary.   NO HEAT in one office that is backed to the the other office on second floor off locker room.  Should be considered emergency.

Tonya Smith 1/8/2019
Assigned to Fresh Air",HVAC
"There is NO heat in the Construction Management Section of the Conduit Division. Contact Lisa Morgan at (410)361-9735.

Tonya Smith 1/8/2019
Assigned to Denver-Elek",HVAC
"Need to have (2) Roof top Gas fired AHU's serviced and 
repaired at Plant II. You can contact Weldon Johnson at 
443-798-8288 or Randy Howell-Bey  at 410-371-6975 if 
you have any additional questions or concerns regarding 
this matter.

Tonya Smith 1/8/2019
Assigned to Denver-Elek

Jonae Barnes 1/15/19
Assigned to Fischer",HVAC
"210 Guilford Ave...lights are out on the 1st & 2nd floor! Along the hallway, in the individual offices, roll call rooms, break area, etc...",Electrical
Room B-4 East too warm,HVAC
"Clear clogged drain for Kitchen sink.
Req. 74157
Officer in charge
410-396-0413

Wycliffe Eccles

Heil Plumbing not notified.

Jonae Barnes 1/8/19
Assigned to Heil",Plumbing
"INVESTIGATED ROOF TOP UNIT, NO HEAT",HVAC
"CHECKED HEAT UNITS & SUMP PUMPS, CLEANED AROUND THE EXTERIOR OF THE BLDG., UNLOCKED OFFICE DOOR, UNCLOGGED SINK IN LUNCH ROOM, REPLACED BALLAST & LIGHT IN OFFICE",HVAC
"CHECKED HEAT UNITS, CLEANED AROUND THE EXTERIOR OF THE BLDG., REPAIRED LATCH ON RESTROOM DOOR, REPLACED BALLAST & LIGHT IN ADMINISTRATIVE OFFICE, CHANGED LIGHTS IN STOCK ROOM",HVAC
CHECKED HEAT UNITS & SUMP PUMP,HVAC
"Replace defective sump pump in basement.
Req. 65000
Officer in charge
410-396-6221

Wycliffe Eccles

Heil Plumbing notified.   Spoke to Eddie Heil.

Jonae Barnes 1/8/19
Assigned to Heil",Plumbing
"unclog in various locations.
Eric R.",Plumbing
electrician tools,Electrical
There are four lights that needs to be replaced in the women's dorm.,Electrical
Two lights in the staff break room needs to be replaced.,Electrical
The vents in the women's restroom needs to be cleaned (1st floor).,HVAC
"There are 2 handicap showers in the men's dorm that needs to be repaired.

Tonya Smith 1/8/2019
Assigned to Fischer",Plumbing
"The vents over beds 1, 30, 40,45, 52, and 66 needs to be cleaned( women's dorm).",HVAC
"The vents over beds 55 and 85 needs to be cleaned.

Tonya Smith 1/16/2019
Assigned to Reginald Frederick",HVAC
There are 15 lights that needs to be replaced (men's dorm).,Electrical
